Question,Answer
"What country is this?<br><br><img src='assets/images/maps/DE.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Germany"
"What country is this?<br><br><img src='assets/images/maps/SE.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Sweden"
"What country is this?<br><br><img src='assets/images/maps/DK.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Denmark"
"Which country has <strong>Prague</strong> as its capital?","Czech Republic (Czechia)"
"What's the capital of <strong>Germany</strong>?","Bonn"
"What's the capital of <strong>Sweden</strong>?","Stockholm"
"What's the capital of <strong>Denmark</strong>?","Copenhagen"
"What's the capital of <strong>Czech Republic (Czechia)</strong>?","Prague"
"Which country has <strong>Bonn</strong> as its capital?","Germany"
"Which country has <strong>Stockholm</strong> as its capital?","Sweden"
"Which country has <strong>Copenhagen</strong> as its capital?","Denmark"
"What country is this?<br><br><img src='assets/images/maps/CZ.svg' alt='' style='width:100%;height:auto;display:block;margin:0 auto'>","Czechia"
